datetime,temperature_C
2023-10-15T14:16:00Z,45.8
2023-10-15T14:18:00Z,45.8
2023-10-15T14:22:00Z,44.2
2023-10-15T14:30:00Z,43.4
2023-10-15T14:34:00Z,43
2023-10-15T14:40:00Z,41.3
2023-10-15T14:44:00Z,41.5
2023-10-15T14:50:00Z,41.4
2023-10-15T14:54:00Z,42
2023-10-15T15:00:00Z,40.4
2023-10-15T15:04:00Z,40.5
2023-10-15T15:10:00Z,39.4
2023-10-15T15:14:00Z,40
2023-10-15T15:20:00Z,39.9
2023-10-15T15:24:00Z,38.3
2023-10-15T15:30:00Z,38.4
2023-10-15T15:34:00Z,38.7
2023-10-15T15:40:00Z,38.9
2023-10-15T15:44:00Z,37.3
2023-10-15T15:50:00Z,36.1
2023-10-15T15:54:00Z,36.8
2023-10-15T16:00:00Z,35.1
2023-10-15T16:10:00Z,35.4
2023-10-15T16:14:00Z,35.8
2023-10-15T16:20:00Z,35.9
2023-10-15T16:24:00Z,36
2023-10-15T16:30:00Z,34.3
2023-10-15T16:34:00Z,34.7
2023-10-15T16:40:00Z,33.2
2023-10-15T16:44:00Z,33.7
2023-10-15T16:50:00Z,32.4
2023-10-15T16:54:00Z,33
2023-10-15T17:00:00Z,31.5
2023-10-15T17:04:00Z,32
2023-10-15T17:10:00Z,30.5
2023-10-15T17:14:00Z,31
2023-10-15T17:20:00Z,29.2
2023-10-16T04:54:00Z,-10
2023-10-16T05:04:00Z,23.1
2023-10-16T05:10:00Z,25
2023-10-16T05:14:00Z,24.9
2023-10-16T05:20:00Z,24.8
2023-10-16T05:24:00Z,24.6
2023-10-16T05:30:00Z,24.4
2023-10-16T05:34:00Z,24.2
2023-10-16T05:40:00Z,26
2023-10-16T05:44:00Z,25.6
2023-10-16T05:50:00Z,25.3
2023-10-16T05:54:00Z,27
2023-10-16T06:00:00Z,26.7
2023-10-16T06:04:00Z,26.5
2023-10-16T06:10:00Z,26.1
2023-10-16T06:14:00Z,27.8
2023-10-16T06:18:00Z,29
2023-10-16T06:24:00Z,28.5
2023-10-16T06:28:00Z,29.8
2023-10-16T06:34:00Z,29.4
2023-10-16T06:44:00Z,29.2
2023-10-16T06:48:00Z,30.9
2023-10-16T06:54:00Z,30.3
2023-10-16T06:58:00Z,31.6
2023-10-16T07:04:00Z,31.1
2023-10-16T07:14:00Z,31.3
2023-10-16T07:18:00Z,31.5
2023-10-16T07:28:00Z,31.4
2023-10-16T07:34:00Z,31.2
2023-10-16T07:38:00Z,33
2023-10-16T07:44:00Z,32.7
2023-10-16T07:54:00Z,32.5
2023-10-16T07:56:00Z,32.5
2023-10-16T07:58:00Z,32.4
2023-10-16T08:04:00Z,33.6
2023-10-16T08:08:00Z,33.4
2023-10-16T08:14:00Z,33.8
2023-10-16T08:18:00Z,33.3
2023-10-16T08:24:00Z,33.7
2023-10-16T08:28:00Z,32.3
2023-10-16T08:34:00Z,33.9
2023-10-16T08:38:00Z,34.5
2023-10-16T08:44:00Z,36.2
2023-10-16T08:48:00Z,37.1
2023-10-16T08:58:00Z,42.6
2023-10-16T09:04:00Z,43.5
2023-10-16T09:08:00Z,45.4
2023-10-16T09:14:00Z,45.5
2023-10-16T09:18:00Z,46.7
2023-10-16T09:24:00Z,46.6
2023-10-16T09:34:00Z,47.9
2023-10-16T09:38:00Z,49.9
2023-10-16T09:44:00Z,50.2
2023-10-16T09:48:00Z,51.9
2023-10-16T09:54:00Z,50.8
2023-10-16T09:58:00Z,49.2
2023-10-16T10:04:00Z,48.8
2023-10-16T10:08:00Z,48.2
2023-10-16T10:18:00Z,51.8
2023-10-16T10:24:00Z,51.2
