datetime,W
2023-10-14T15:44:00Z,355
2023-10-14T15:48:00Z,330
2023-10-14T15:54:00Z,196
2023-10-14T15:58:00Z,320
2023-10-14T16:04:00Z,308
2023-10-14T16:08:00Z,179
2023-10-14T16:14:00Z,157
2023-10-14T16:18:00Z,134
2023-10-14T16:24:00Z,77
2023-10-14T16:28:00Z,66
2023-10-14T16:34:00Z,60
2023-10-14T16:38:00Z,32
2023-10-14T16:42:00Z,13
2023-10-14T16:48:00Z,4
2023-10-14T16:54:00Z,0
2023-10-14T17:04:00Z,4
2023-10-15T04:58:00Z,0
2023-10-15T05:12:00Z,4
2023-10-15T05:18:00Z,10
2023-10-15T05:22:00Z,16
2023-10-15T05:28:00Z,20
2023-10-15T05:32:00Z,24
2023-10-15T05:36:00Z,39
2023-10-15T05:42:00Z,57
2023-10-15T05:46:00Z,76
2023-10-15T05:52:00Z,101
2023-10-15T05:56:00Z,127
2023-10-15T06:02:00Z,136
2023-10-15T06:06:00Z,128
2023-10-15T06:12:00Z,105
2023-10-15T06:16:00Z,97
2023-10-15T06:22:00Z,121
2023-10-15T06:26:00Z,159
2023-10-15T06:32:00Z,227
2023-10-15T06:36:00Z,302
2023-10-15T06:42:00Z,266
2023-10-15T06:46:00Z,235
2023-10-15T06:52:00Z,349
2023-10-15T06:56:00Z,445
2023-10-15T07:02:00Z,464
2023-10-15T07:06:00Z,377
2023-10-15T07:10:00Z,377
2023-10-15T07:12:00Z,419
2023-10-15T07:16:00Z,609
2023-10-15T07:22:00Z,771
2023-10-15T07:26:00Z,852
2023-10-15T07:32:00Z,782
2023-10-15T07:36:00Z,770
2023-10-15T07:42:00Z,856
2023-10-15T07:46:00Z,858
2023-10-15T07:52:00Z,660
2023-10-15T07:56:00Z,573
2023-10-15T07:58:00Z,573
2023-10-15T08:02:00Z,703
2023-10-15T08:06:00Z,687
2023-10-15T08:12:00Z,595
2023-10-15T08:16:00Z,578
2023-10-15T08:22:00Z,571
2023-10-15T08:26:00Z,466
2023-10-15T08:32:00Z,485
2023-10-15T08:36:00Z,821
2023-10-15T08:42:00Z,931
2023-10-15T08:46:00Z,1067
2023-10-15T08:52:00Z,1199
2023-10-15T08:56:00Z,993
2023-10-15T09:00:00Z,1021
2023-10-15T09:06:00Z,1189
2023-10-15T09:12:00Z,1039
2023-10-15T09:16:00Z,1233
2023-10-15T09:20:00Z,1489
2023-10-15T09:26:00Z,1408
2023-10-15T09:30:00Z,1181
2023-10-15T09:36:00Z,1295
2023-10-15T09:40:00Z,1627
2023-10-15T09:46:00Z,1621
2023-10-15T09:50:00Z,1681
2023-10-15T09:56:00Z,1686
2023-10-15T10:00:00Z,1540
2023-10-15T10:06:00Z,1228
2023-10-15T10:10:00Z,1105
2023-10-15T10:16:00Z,1388
2023-10-15T10:20:00Z,1690
2023-10-15T10:26:00Z,1408
2023-10-15T10:30:00Z,1371
2023-10-15T10:36:00Z,1594
2023-10-15T10:40:00Z,1413
2023-10-15T10:46:00Z,1390
2023-10-15T10:50:00Z,1479
2023-10-15T10:56:00Z,1330
2023-10-15T10:58:00Z,1330
2023-10-15T11:00:00Z,1336
2023-10-15T11:06:00Z,1358
2023-10-15T11:10:00Z,1242
2023-10-15T11:16:00Z,1338
2023-10-15T11:20:00Z,1286
2023-10-15T11:26:00Z,1185
2023-10-15T11:30:00Z,1414
2023-10-15T11:36:00Z,1481
2023-10-15T11:40:00Z,1227
2023-10-15T11:46:00Z,1386
2023-10-15T11:50:00Z,1548
2023-10-15T11:56:00Z,1309
2023-10-15T12:00:00Z,1194
2023-10-15T12:06:00Z,1157
2023-10-15T12:10:00Z,1122
2023-10-15T12:16:00Z,1325
2023-10-15T12:20:00Z,1206
2023-10-15T12:26:00Z,817
2023-10-15T12:30:00Z,760
2023-10-15T12:36:00Z,1201
2023-10-15T12:40:00Z,1318
2023-10-15T12:46:00Z,1235
2023-10-15T12:50:00Z,1381
2023-10-15T12:56:00Z,1473
2023-10-15T13:00:00Z,1396
2023-10-15T13:06:00Z,1183
2023-10-15T13:16:00Z,1121
2023-10-15T13:20:00Z,1154
2023-10-15T13:26:00Z,1050
2023-10-15T13:28:00Z,1050
2023-10-15T13:30:00Z,1032
2023-10-15T13:34:00Z,1068
2023-10-15T13:40:00Z,1103
2023-10-15T13:44:00Z,1046
2023-10-15T13:50:00Z,705
2023-10-15T13:54:00Z,612
2023-10-15T14:00:00Z,673
2023-10-15T14:04:00Z,896
2023-10-15T14:10:00Z,1095
2023-10-15T14:16:00Z,1035
2023-10-15T14:18:00Z,1035
2023-10-15T14:22:00Z,906
2023-10-15T14:30:00Z,771
2023-10-15T14:34:00Z,580
2023-10-15T14:40:00Z,678
2023-10-15T14:44:00Z,791
2023-10-15T14:50:00Z,706
2023-10-15T14:54:00Z,594
2023-10-15T15:00:00Z,509
2023-10-15T15:04:00Z,602
2023-10-15T15:10:00Z,524
2023-10-15T15:14:00Z,483
2023-10-15T15:20:00Z,596
2023-10-15T15:24:00Z,538
2023-10-15T15:30:00Z,467
2023-10-15T15:34:00Z,465
2023-10-15T15:40:00Z,433
2023-10-15T15:44:00Z,324
2023-10-15T15:50:00Z,230
2023-10-15T15:54:00Z,248
2023-10-15T16:00:00Z,330
2023-10-15T16:04:00Z,339
2023-10-15T16:10:00Z,296
2023-10-15T16:14:00Z,295
2023-10-15T16:20:00Z,324
2023-10-15T16:24:00Z,309
2023-10-15T16:30:00Z,249
2023-10-15T16:34:00Z,193
2023-10-15T16:40:00Z,143
2023-10-15T16:44:00Z,125
2023-10-15T16:50:00Z,110
2023-10-15T16:54:00Z,82
2023-10-15T17:00:00Z,61
2023-10-15T17:04:00Z,43
2023-10-15T17:10:00Z,25
2023-10-15T17:14:00Z,11
2023-10-15T17:20:00Z,7
2023-10-16T04:54:00Z,0
2023-10-16T05:10:00Z,4
2023-10-16T05:14:00Z,7
2023-10-16T05:20:00Z,14
2023-10-16T05:24:00Z,21
2023-10-16T05:30:00Z,28
2023-10-16T05:34:00Z,36
2023-10-16T05:40:00Z,53
2023-10-16T05:44:00Z,78
2023-10-16T05:50:00Z,83
2023-10-16T05:54:00Z,93
2023-10-16T06:00:00Z,92
2023-10-16T06:04:00Z,80
2023-10-16T06:10:00Z,105
2023-10-16T06:14:00Z,134
2023-10-16T06:18:00Z,192
2023-10-16T06:24:00Z,222
2023-10-16T06:28:00Z,215
2023-10-16T06:34:00Z,174
2023-10-16T06:38:00Z,115
2023-10-16T06:44:00Z,139
2023-10-16T06:48:00Z,197
2023-10-16T06:54:00Z,236
2023-10-16T06:58:00Z,252
2023-10-16T07:04:00Z,240
2023-10-16T07:08:00Z,183
2023-10-16T07:14:00Z,182
2023-10-16T07:18:00Z,207
2023-10-16T07:24:00Z,202
2023-10-16T07:28:00Z,257
2023-10-16T07:34:00Z,295
2023-10-16T07:38:00Z,316
2023-10-16T07:44:00Z,299
2023-10-16T07:48:00Z,243
2023-10-16T07:54:00Z,266
2023-10-16T07:56:00Z,266
2023-10-16T07:58:00Z,285
2023-10-16T08:04:00Z,447
2023-10-16T08:08:00Z,449
2023-10-16T08:14:00Z,300
2023-10-16T08:18:00Z,366
2023-10-16T08:24:00Z,308
2023-10-16T08:28:00Z,273
2023-10-16T08:34:00Z,385
2023-10-16T08:38:00Z,657
2023-10-16T08:44:00Z,917
2023-10-16T08:48:00Z,915
2023-10-16T08:54:00Z,1074
2023-10-16T08:58:00Z,1126
2023-10-16T09:04:00Z,1214
2023-10-16T09:08:00Z,1125
2023-10-16T09:14:00Z,942
2023-10-16T09:18:00Z,1148
2023-10-16T09:24:00Z,1040
2023-10-16T09:28:00Z,1080
2023-10-16T09:34:00Z,1172
2023-10-16T09:38:00Z,1335
2023-10-16T09:44:00Z,1498
2023-10-16T09:48:00Z,1404
2023-10-16T09:54:00Z,1139
2023-10-16T09:58:00Z,988
2023-10-16T10:04:00Z,875
2023-10-16T10:08:00Z,986
2023-10-16T10:14:00Z,1355
2023-10-16T10:18:00Z,1304
2023-10-16T10:24:00Z,1452
2023-10-16T10:28:00Z,1547
2023-10-16T10:34:00Z,1448
2023-10-16T10:38:00Z,1576
2023-10-16T10:44:00Z,1384
2023-10-16T10:48:00Z,1237
2023-10-16T10:52:00Z,1436
2023-10-16T10:56:00Z,1436
2023-10-16T10:58:00Z,1284
2023-10-16T11:02:00Z,1370
2023-10-16T11:08:00Z,1736
2023-10-16T11:12:00Z,1791
2023-10-16T11:18:00Z,1612
2023-10-16T11:22:00Z,1631
2023-10-16T11:28:00Z,1559
2023-10-16T11:32:00Z,1527
2023-10-16T11:38:00Z,1747
2023-10-16T11:42:00Z,1729
2023-10-16T11:48:00Z,1612
2023-10-16T11:54:00Z,1578
2023-10-16T11:58:00Z,1687
2023-10-16T12:02:00Z,1565
2023-10-16T12:08:00Z,1491
2023-10-16T12:12:00Z,1509
2023-10-16T12:18:00Z,1254
2023-10-16T12:22:00Z,1407
2023-10-16T12:28:00Z,1719
2023-10-16T12:32:00Z,1723
2023-10-16T12:36:00Z,1723
